trial_id,game_id,rt,trial_num,slider_num_agents,slider_recipe,trial_stim,true_num_agents,true_recipe,slider_min_agents,slider_max_agents,slider_min_recipe,slider_max_recipe
bb6b8420-f1fa-4fd3-b282-8d079df43748,9288-213ee239-ee69-4527-b285-e195a5b9881b,15221.70000000298,2.0,26,100,1agent-onion,1agent,onion,1agent,2agent,tomato,onion
a108b7f4-1a46-4928-b3df-e17977dea072,9288-213ee239-ee69-4527-b285-e195a5b9881b,19611.20000000298,3.0,86,70,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
596eb856-dce4-435b-9b93-8dc1879dd4de,9288-213ee239-ee69-4527-b285-e195a5b9881b,10250.40000000596,4.0,6,51,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
da17470f-6ebd-4c61-b934-05a37845c17a,9288-213ee239-ee69-4527-b285-e195a5b9881b,12129.20000000298,5.0,65,20,either_agents-tomato,either_agents,tomato,1agent,2agent,tomato,onion
d44046ff-5a36-49a0-8062-a84f1bb4c3fe,9288-213ee239-ee69-4527-b285-e195a5b9881b,11254.5,6.0,81,50,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
20b4ea5d-4a7c-499d-85ab-8b3486519e98,9288-213ee239-ee69-4527-b285-e195a5b9881b,239424.70000000295,7.0,65,23,2agent-tomato,2agent,tomato,1agent,2agent,tomato,onion
e2e6c32a-eb3c-4e2c-85b4-5b48cf7a4a74,9288-213ee239-ee69-4527-b285-e195a5b9881b,13978.19999998808,8.0,61,65,2agent-either_recipe,2agent,either_recipe,1agent,2agent,tomato,onion
3a16884b-2491-4ce0-8fc7-da7e76a2daab,6185-20c10b30-c6fa-46f4-a8e3-07055f9e9907,32208.0,0.0,74,48,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
965f78d9-fcec-44f6-af45-44c9eae79cc9,6185-20c10b30-c6fa-46f4-a8e3-07055f9e9907,17635.000000000015,1.0,79,50,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
2bd85dd5-b558-43c1-a55c-b89cb58e093d,6185-20c10b30-c6fa-46f4-a8e3-07055f9e9907,21723.0,2.0,44,33,either_agents-tomato,either_agents,tomato,1agent,2agent,tomato,onion
3ef9ebaf-25af-48fe-8601-b8af0b34d2c8,6185-20c10b30-c6fa-46f4-a8e3-07055f9e9907,20923.0,3.0,71,74,1agent-onion,1agent,onion,1agent,2agent,tomato,onion
96b0a908-1025-436e-8f2b-c2210c38120d,6185-20c10b30-c6fa-46f4-a8e3-07055f9e9907,16137.0,4.0,77,24,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
87fe0d48-6794-451c-90d6-03e0045da169,6185-20c10b30-c6fa-46f4-a8e3-07055f9e9907,20945.0,5.0,73,68,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
2672d3ed-2aa2-450c-b894-f19c667f1467,6185-20c10b30-c6fa-46f4-a8e3-07055f9e9907,19239.99999999997,6.0,100,85,2agent-onion,2agent,onion,1agent,2agent,tomato,onion
1a0eeb76-a359-4004-9009-af02e07fe26c,6185-20c10b30-c6fa-46f4-a8e3-07055f9e9907,12912.0,7.0,82,21,2agent-tomato,2agent,tomato,1agent,2agent,tomato,onion
08b8fd66-9026-4fb5-815a-c816ed3bf127,6185-20c10b30-c6fa-46f4-a8e3-07055f9e9907,12688.0,8.0,100,49,2agent-either_recipe,2agent,either_recipe,1agent,2agent,tomato,onion
4c733c20-f11b-4936-b3d5-0796d04908b2,1454-d52968ee-9b64-4c32-b520-c042b0d902d6,30044.599999904633,0.0,0,50,2agent-either_recipe,2agent,either_recipe,1agent,2agent,tomato,onion
876e66ac-7b21-4481-98ea-3c9c435c79b3,1454-d52968ee-9b64-4c32-b520-c042b0d902d6,20468.0,1.0,100,71,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
4735a6ff-5698-4259-b067-362973e34978,1454-d52968ee-9b64-4c32-b520-c042b0d902d6,18500.10000002384,2.0,38,27,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
5b6dfab3-c9ff-4885-8333-9c49a379b914,1454-d52968ee-9b64-4c32-b520-c042b0d902d6,14970.5,3.0,0,66,1agent-onion,1agent,onion,1agent,2agent,tomato,onion
52d3b514-2dc4-4768-b858-d402d4f13819,1454-d52968ee-9b64-4c32-b520-c042b0d902d6,9907.100000023842,4.0,1,21,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
cb3ff26d-ca1f-47c7-a469-e4243564e58d,1454-d52968ee-9b64-4c32-b520-c042b0d902d6,19527.80000007153,5.0,58,21,either_agents-tomato,either_agents,tomato,1agent,2agent,tomato,onion
1174c5c0-ab02-448b-bf4a-a6caf7b70a04,1454-d52968ee-9b64-4c32-b520-c042b0d902d6,12610.0,6.0,0,76,2agent-tomato,2agent,tomato,1agent,2agent,tomato,onion
